Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2017/1/31,32254,FL,Jacksonville,Duval,Jacksonville,7634,792,-0.001261034,0,-0.002518892,5488
2017/1/31,64503,MO,St. Joseph,Buchanan,Saint Joseph,7635,709,0.00997151,0.042647059,-0.124691358,4747
2017/1/31,33527,FL,Tampa,Hillsborough,Dover,7636,1477,-0.002027027,0,0.021438451,3329
2017/1/31,60192,IL,Chicago,Cook,Hoffman Estates,7637,2094,0.001913876,-0.00616991,0.01798736,5751
2017/1/31,32569,FL,Crestview-Fort Walton Beach-Destin,Okaloosa,Mary Esther,7638,1195,0.002516779,0.005892256,0.014431239,4830
2017/1/31,21128,MD,Baltimore,Baltimore,Perry Hall,7639,1885,-0.004226096,-0.001588983,0.005869797,5673
2017/1/31,35954,AL,Gadsden,Etowah,Attalla,7640,793,-0.002515723,0.023225806,0.242946708,3334
2017/1/31,89423,NV,Gardnerville Ranchos,Douglas,Minden,7641,1922,0.010515247,0.010515247,0.149521531,4525
2017/1/31,27573,NC,Durham,Person,Roxboro,7642,886,-0.001127396,-0.003374578,0.003397508,2185
2017/1/31,97024,OR,Portland,Multnomah,Fairview,7643,1729,0.000578704,0.017058824,0.077258567,2217
2017/1/31,95030,CA,San Jose,Santa Clara,Los Gatos,7644,5917,-0.007214765,-0.007547803,-0.041781377,4837
2017/1/31,50219,IA,,Marion,Pella,7645,1188,-0.018992568,-0.016556291,-0.080495356,4450
2017/1/31,64079,MO,Kansas City,Platte,Platte City,7646,1412,-0.000707714,0.005698006,0.015097052,4303
2017/1/31,81008,CO,Pueblo,Pueblo,Pueblo,7647,1220,0.000820345,0.005770816,0.020920502,3704
2017/1/31,46064,IN,Indianapolis,Madison,Pendleton,7648,1104,-0.011638317,-0.036649215,-0.04,5350
2017/1/31,98390,WA,Seattle,Pierce,Sumner,7649,1624,-0.001843884,0.003708282,0.07620941,3273
2017/1/31,22181,VA,Washington,Fairfax,Vienna,7650,3101,0.003235199,0.013398693,0.029206771,5294
2017/1/31,70447,LA,New Orleans,Saint Tammany,Madisonville,7651,1802,0.003340757,0.037420841,-0.062922517,5366
2017/1/31,19525,PA,Philadelphia,Montgomery,New Hanover,7652,1895,0.000527983,0.001585624,0.022114347,5129
2017/1/31,85350,AZ,Yuma,Yuma,Somerton,7653,855,0.002344666,0.008254717,-0.009269988,3227
2017/1/31,62236,IL,St. Louis,Monroe,Columbia,7654,1402,0.002144389,-0.005673759,-0.002135231,4724
2017/1/31,48374,MI,Detroit,Oakland,Novi,7655,2782,0.003969686,0.003969686,-0.032347826,5224
2017/1/31,7663,NJ,New York,Bergen,Saddle Brook,7656,2251,-0.011418533,-0.034734134,-0.045782111,4242
